experiment,distribution,eviction_policy,maxmemory,ttl,hit_rate,total_hits,total_misses,latency_p50_ms,latency_p95_ms,evicted_keys
dist_comparison,zipf,allkeys-lru,200mb,300,97.0,485,15,0.508,25.98,0
dist_comparison,uniform,allkeys-lru,200mb,300,97.0,485,15,0.47,1.447,0
policy_comparison,zipf,LRU,200mb,300,89.2,446,54,0.51,105.862,0
policy_comparison,zipf,LFU,200mb,300,96.2,481,19,0.489,4.366,0
policy_comparison,zipf,FIFO/Random,200mb,300,99.0,495,5,0.455,0.747,0
size_comparison,zipf,LRU,50mb,300,99.2,496,4,0.447,0.66,0
size_comparison,zipf,LRU,200mb,300,98.8,494,6,0.461,0.727,0
size_comparison,zipf,LRU,500mb,300,98.6,493,7,0.464,0.79,0
ttl_comparison,zipf,LRU,200mb,30,94.5,945,55,0.467,104.593,0
ttl_comparison,zipf,LRU,200mb,60,97.1,971,29,0.475,1.0,0
ttl_comparison,zipf,LRU,200mb,120,98.4,984,16,0.468,0.741,0
